TF,TPSL_MODE,Trades,Wins,Losses,BE,WinRate(%),NetProfit($),MaxDD($)
M1,S20.13.23,49,0,49,1,0.0,-3626.51,3626.51
M1,S20.14.23,49,21,28,26,42.86,83.47,274.84
M5,S20.13.23,2,0,2,0,0.0,-631.68,631.68
M5,S20.14.23,9,7,2,0,77.78,216.13,87.32
M15,S20.13.23,0,0,0,0,0.0,0.0,0.0
M15,S20.14.23,0,0,0,0,0.0,0.0,0.0
M30,S20.13.23,0,0,0,0,0.0,0.0,0.0
M30,S20.14.23,0,0,0,0,0.0,0.0,0.0
H1,S20.13.23,0,0,0,0,0.0,0.0,0.0
H1,S20.14.23,0,0,0,0,0.0,0.0,0.0
H4,S20.13.23,0,0,0,0,0.0,0.0,0.0
H4,S20.14.23,0,0,0,0,0.0,0.0,0.0
D1,S20.13.23,0,0,0,0,0.0,0.0,0.0
D1,S20.14.23,0,0,0,0,0.0,0.0,0.0
