TF,Config,Trend,Vol,Wick,Depth,RR,BE,Trades,WinRate%,NetProfit($),ProfitFactor,MaxDD($)
M15,Baseline,NONE,1.25,0.38,0.5,1.8,0.4,750,44.0,566.5,1.4,161.65
M15,EMA50 Trend Filter,EMA50,1.25,0.38,0.5,1.8,0.4,163,44.2,106.34,1.41,83.95
M15,EMA200 Trend Filter,EMA200,1.25,0.38,0.5,1.8,0.4,255,43.0,172.37,1.41,71.58
M15,High Vol (1.45x),NONE,1.45,0.38,0.5,1.8,0.4,440,41.3,233.3,1.26,117.13
M15,Very High Vol (1.65x),NONE,1.65,0.38,0.5,1.8,0.4,249,40.4,150.48,1.32,44.09
M15,Deep Wick 45%,NONE,1.35,0.45,0.5,1.8,0.4,559,39.4,167.94,1.14,130.83
M15,Extreme Pinbar 50%,NONE,1.35,0.5,0.5,1.8,0.4,526,39.3,156.14,1.14,166.92
M15,Fibo Retest 38.2%,NONE,1.35,0.4,0.382,1.8,0.4,543,44.1,459.05,1.44,70.01
M15,Fibo Retest 61.8%,NONE,1.35,0.4,0.618,1.8,0.4,599,36.9,-17.46,0.99,214.89
M15,RR 2.0R,NONE,1.35,0.4,0.5,2.0,0.4,569,36.4,132.77,1.11,164.34
M15,RR 2.2R,NONE,1.35,0.4,0.5,2.2,0.4,569,33.3,94.52,1.07,169.11
M15,BE at 50% TP,NONE,1.35,0.4,0.5,1.8,0.5,569,39.8,212.46,1.16,126.39
M15,Alpha Quant Combo A,EMA50,1.4,0.42,0.5,2.0,0.4,93,41.8,53.84,1.33,58.69
M15,Alpha Quant Combo B,NONE,1.4,0.45,0.5,2.0,0.45,492,35.6,98.52,1.09,153.22
M15,Alpha Quant Combo C,EMA200,1.35,0.4,0.5,2.2,0.4,190,35.7,22.85,1.06,102.43
M30,Baseline,NONE,1.25,0.38,0.5,1.8,0.4,402,42.0,468.8,1.42,136.5
M30,EMA50 Trend Filter,EMA50,1.25,0.38,0.5,1.8,0.4,96,49.2,171.43,1.68,54.97
M30,EMA200 Trend Filter,EMA200,1.25,0.38,0.5,1.8,0.4,151,43.8,264.62,1.68,53.75
M30,High Vol (1.45x),NONE,1.45,0.38,0.5,1.8,0.4,222,42.3,355.05,1.64,72.0
M30,Very High Vol (1.65x),NONE,1.65,0.38,0.5,1.8,0.4,123,41.3,137.85,1.41,61.78
M30,Deep Wick 45%,NONE,1.35,0.45,0.5,1.8,0.4,289,41.1,302.6,1.37,112.81
M30,Extreme Pinbar 50%,NONE,1.35,0.5,0.5,1.8,0.4,268,39.5,229.44,1.29,112.81
M30,Fibo Retest 38.2%,NONE,1.35,0.4,0.382,1.8,0.4,279,45.4,476.87,1.66,69.2
M30,Fibo Retest 61.8%,NONE,1.35,0.4,0.618,1.8,0.4,317,41.9,382.74,1.37,117.7
M30,RR 2.0R,NONE,1.35,0.4,0.5,2.0,0.4,295,39.3,343.77,1.39,112.81
M30,RR 2.2R,NONE,1.35,0.4,0.5,2.2,0.4,295,36.2,325.55,1.36,112.81
M30,BE at 50% TP,NONE,1.35,0.4,0.5,1.8,0.5,296,41.5,314.89,1.35,112.81
M30,Alpha Quant Combo A,EMA50,1.4,0.42,0.5,2.0,0.4,59,52.9,177.27,2.53,25.55
M30,Alpha Quant Combo B,NONE,1.4,0.45,0.5,2.0,0.45,249,39.0,294.58,1.39,87.36
M30,Alpha Quant Combo C,EMA200,1.35,0.4,0.5,2.2,0.4,105,39.1,210.65,1.72,34.93
