Time (BKK),Close Time,TF,Type,Entry,SL,TP,P&L,Reason
2026-06-30 16:54:00,2026-06-30 17:05:00,M1,SELL,4014.86,4019.98,4007.94,-20.50,SL
2026-06-30 17:15:00,2026-06-30 17:59:00,M1,SELL,4018.10,4023.80,4010.30,-22.82,SL
2026-06-30 17:28:00,2026-06-30 17:53:00,M1,SELL,4018.02,4023.01,4011.28,-19.98,SL
2026-06-30 17:30:00,2026-06-30 17:53:00,M1,SELL,4017.13,4023.02,4009.05,-17.69,SL
2026-06-30 17:31:00,2026-06-30 17:53:00,M1,SELL,4016.27,4023.03,4006.87,-20.30,SL
2026-06-30 17:32:00,2026-06-30 17:53:00,M1,SELL,4013.53,4023.07,3999.97,-19.09,SL
2026-06-30 17:34:00,2026-06-30 17:45:00,M1,SELL,4014.18,4019.10,4007.55,-19.70,SL
2026-06-30 17:35:00,2026-06-30 17:45:00,M1,SELL,4013.16,4019.09,4005.01,-17.81,SL
2026-06-30 17:36:00,2026-06-30 17:45:00,M1,SELL,4012.81,4019.09,4004.15,-18.86,SL
2026-06-30 17:44:00,2026-06-30 17:53:00,M1,SELL,4016.95,4023.00,4008.63,-18.17,SL
2026-06-30 17:49:00,2026-06-30 17:53:00,M1,SELL,4018.76,4023.00,4012.20,-16.98,SL
2026-06-30 18:55:00,2026-06-30 19:41:00,M1,BUY,4029.21,4025.04,4034.71,21.98,TP
2026-06-30 18:56:00,2026-06-30 19:46:00,M1,BUY,4030.11,4025.04,4036.96,20.53,TP
2026-06-30 18:58:00,2026-06-30 20:18:00,M1,BUY,4030.88,4025.04,4038.89,-17.54,SL
2026-06-30 20:47:00,2026-06-30 21:09:00,M1,SELL,4015.20,4023.15,4004.03,-15.91,SL
2026-06-30 20:49:00,2026-06-30 21:09:00,M1,SELL,4013.66,4023.14,4000.19,-18.97,SL
2026-06-30 20:52:00,2026-06-30 21:09:00,M1,SELL,4014.30,4023.12,4001.82,-17.65,SL
2026-06-30 20:53:00,2026-06-30 21:09:00,M1,SELL,4013.56,4023.12,3999.97,-19.13,SL
2026-06-30 20:56:00,2026-06-30 21:09:00,M1,SELL,4012.51,4023.14,3997.32,-10.64,SL
2026-06-30 21:03:00,2026-06-30 21:19:00,M1,BUY,4017.11,4008.43,4029.39,24.55,TP
2026-06-30 21:05:00,2026-06-30 21:18:00,M1,BUY,4016.71,4008.40,4028.43,23.43,TP
2026-06-30 21:06:00,2026-06-30 22:09:00,M1,BUY,4019.32,4008.38,4034.99,15.66,TP
