Ticket,Order,Time (BKK),Type,Entry,Volume,Price,Commission,Swap,Profit,Symbol,Comment
329008679,553446674,2026-06-29 15:31:06,Sell,In,0.44,4042.11,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329009219,553446077,2026-06-29 15:31:31,Sell,In,0.44,4042.79,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329009738,553449503,2026-06-29 15:31:50,Buy,Out,0.11,4040.76,0.0,0.0,22.33,XAUUSD.iux,M1_S20.8
329011140,553450958,2026-06-29 15:33:15,Buy,Out,0.11,4039.78,0.0,0.0,33.11,XAUUSD.iux,M1_S20.8
329011142,553450960,2026-06-29 15:33:15,Buy,Out,0.11,4039.78,0.0,0.0,25.63,XAUUSD.iux,M1_S20.8
329014661,553454194,2026-06-29 15:36:18,Buy,In,0.4,4040.04,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329015723,553451605,2026-06-29 15:37:13,Buy,In,0.4,4037.88,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329024669,553463053,2026-06-29 15:46:02,Buy,In,0.28,4037.64,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329024971,553461978,2026-06-29 15:46:16,Buy,In,0.28,4036.12,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329031388,553471320,2026-06-29 15:54:11,Buy,In,0.28,4032.33,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329031663,553470145,2026-06-29 15:54:19,Buy,In,0.24,4031.84,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329038050,553474618,2026-06-29 16:01:00,Sell,In,0.24,4034.13,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329038181,553477665,2026-06-29 16:01:01,Sell,In,0.2,4034.98,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329038834,553480078,2026-06-29 16:01:48,Buy,Out,0.05,4032.26,0.0,0.0,13.6,XAUUSD.iux,M1_S20.8
329038904,553480150,2026-06-29 16:01:58,Buy,Out,0.06,4031.76,0.0,0.0,14.22,XAUUSD.iux,M1_S20.8
329038905,553480151,2026-06-29 16:01:58,Buy,Out,0.05,4031.79,0.0,0.0,15.95,XAUUSD.iux,M1_S20.8
329040307,553478521,2026-06-29 16:03:13,Buy,In,0.2,4028.46,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329052254,553491553,2026-06-29 16:11:04,Buy,In,0.16,4013.47,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329065358,553506987,2026-06-29 16:17:41,Sell,In,0.08,4014.36,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329071810,553493999,2026-06-29 16:22:43,Sell,In,0.16,4020.25,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329089147,553532868,2026-06-29 16:38:29,Buy,In,0.16,4024.32,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329094849,553536847,2026-06-29 16:44:19,Buy,In,0.2,4020.81,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329096426,553542235,2026-06-29 16:45:28,Sell,Out,0.05,4023.4,0.0,0.0,12.95,XAUUSD.iux,M1_S20.8
329098961,553531245,2026-06-29 16:47:44,Buy,In,0.04,4019.46,0.0,0.0,0.0,XAUUSD.iux,M5_S20.8
329103472,553544711,2026-06-29 16:52:23,Sell,In,0.2,4023.71,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329104082,553542969,2026-06-29 16:52:40,Sell,In,0.2,4025.04,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
329105989,553537965,2026-06-29 16:54:33,Sell,In,0.2,4025.98,0.0,0.0,0.0,XAUUSD.iux,M1_S20.8
