TF,Direction,Open_Time,Close_Time,Entry,SL,TP,Profit,Outcome
M1,SELL,2026-09-02 20:01:00,2026-09-02 20:27:00,4336.08,4354.38,4317.99,-18.5,SL
M1,SELL,2026-09-02 20:27:00,2026-09-02 20:29:00,4356.79,4354.38,4317.99,2.21,SL
M1,SELL,2026-09-02 20:29:00,2026-09-02 20:31:00,4355.19,4354.38,4317.99,0.61,SL
M1,SELL,2026-09-02 20:31:00,2026-09-02 20:33:00,4361.4,4354.38,4317.99,6.82,SL
M1,SELL,2026-09-02 20:33:00,2026-09-02 20:35:00,4363.95,4354.38,4317.99,9.37,SL
M1,SELL,2026-09-02 20:35:00,2026-09-02 20:37:00,4364.9,4354.38,4317.99,10.32,SL
M1,SELL,2026-09-02 20:37:00,2026-09-02 20:39:00,4366.37,4354.38,4317.99,11.79,SL
M1,SELL,2026-09-02 20:39:00,2026-09-02 20:41:00,4365.04,4354.38,4317.99,10.46,SL
M1,SELL,2026-09-02 20:41:00,2026-09-02 20:43:00,4367.18,4354.38,4317.99,12.6,SL
M1,SELL,2026-09-02 20:43:00,2026-09-02 20:45:00,4373.01,4354.38,4317.99,18.43,SL
M1,SELL,2026-09-02 20:45:00,2026-09-02 20:47:00,4378.15,4354.38,4317.99,23.57,SL
M1,SELL,2026-09-02 20:47:00,2026-09-02 20:49:00,4373.65,4354.38,4317.99,19.07,SL
M1,SELL,2026-09-02 20:49:00,2026-09-02 20:51:00,4373.68,4354.38,4317.99,19.1,SL
M1,SELL,2026-09-02 20:51:00,2026-09-02 20:53:00,4371.85,4354.38,4317.99,17.27,SL
M1,SELL,2026-09-02 20:53:00,2026-09-02 20:55:00,4376.9,4354.38,4317.99,22.32,SL
M1,SELL,2026-09-02 20:55:00,2026-09-02 20:57:00,4376.8,4354.38,4317.99,22.22,SL
M1,SELL,2026-09-02 20:57:00,2026-09-02 20:59:00,4376.3,4354.38,4317.99,21.72,SL
M1,SELL,2026-09-02 20:59:00,2026-09-02 21:01:00,4380.49,4354.38,4317.99,25.91,SL
