entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-11 08:15:00,2026-05-11 08:30:00,BUY,4692.28,4691.91,4716.04,SL,-0.57,S420 BUY ABCD,ABCD X=4702.70 A=4749.55 B=4702.07 C=4726.83 D=4698.58 EW=4705.25
2026-05-11 08:30:00,2026-05-11 08:45:00,BUY,4699.15,4691.91,4716.04,SL,-7.44,S420 BUY ABCD,ABCD X=4702.70 A=4749.55 B=4702.07 C=4726.83 D=4698.58 EW=4705.25
2026-05-11 08:45:00,2026-05-11 09:00:00,BUY,4694.4,4691.91,4716.04,SL,-2.69,S420 BUY ABCD,ABCD X=4702.70 A=4749.55 B=4702.07 C=4726.83 D=4698.58 EW=4705.25
2026-05-12 16:45:00,2026-05-12 17:15:00,BUY,4695.31,4678.88,4708.73,TP,-0.85,S420 BUY ABCD,ABCD X=4720.32 A=4733.94 B=4708.73 C=4722.08 D=4687.13 EW=4695.38
2026-05-14 11:45:00,2026-05-14 12:15:00,SELL,4704.89,4711.14,4696.22,SL,45.38,S420 SELL ABCD,ABCD X=4709.85 A=4677.68 B=4702.12 C=4689.55 D=4707.02 EW=4702.90
2026-05-19 02:15:00,2026-05-19 03:15:00,SELL,4554.45,4564.36,4541.99,SL,25.62,S420 SELL Head and Shoulders,Head and Shoulders X=4557.02 A=4530.08 B=4584.18 C=4531.99 D=4558.18 EW=4552.00
2026-05-19 15:30:00,2026-05-19 16:15:00,BUY,4538.36,4521.18,4556.56,TP,3.23,S420 BUY ABCD,ABCD X=4534.27 A=4589.28 B=4554.19 C=4572.38 D=4530.96 EW=4540.74
2026-05-19 19:00:00,2026-05-19 19:15:00,BUY,4530.45,4517.52,4546.39,TP,3.42,S420 BUY ABCD,ABCD X=4554.19 A=4572.38 B=4530.96 C=4559.30 D=4525.50 EW=4533.48
2026-05-20 23:15:00,2026-05-21 00:15:00,SELL,4533.84,4573.24,4499.92,TP,-7.97,S420 SELL ABCD,ABCD X=4508.98 A=4456.66 B=4505.36 C=4467.13 D=4552.98 EW=4532.72
2026-05-21 07:00:00,2026-05-21 07:15:00,SELL,4546.5,4555.4,4537.23,TP,1.96,S420 SELL ABCD,ABCD X=4552.98 A=4523.21 B=4538.21 C=4529.10 D=4550.38 EW=4545.36
2026-05-22 21:00:00,2026-05-22 21:15:00,BUY,4513.84,4503.96,4526.68,SL,27.74,S420 BUY Anti Butterfly,Anti Butterfly X=4507.34 A=4528.88 B=4514.90 C=4536.84 D=4510.24 EW=4516.52
2026-05-26 18:45:00,2026-05-26 19:00:00,BUY,4510.05,4505.78,4528.73,SL,-4.47,S420 BUY ABCD,ABCD X=4530.01 A=4545.43 B=4523.03 C=4538.99 D=4512.12 EW=4518.46
