entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-07-15 01:00:00,2026-07-15 06:00:00,SELL,4062.79,,,REV,134.7,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-15 06:00:00,2026-07-17 06:00:00,BUY,4049.12,,,REV,-708.8,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-07-17 06:00:00,2026-07-20 06:00:00,SELL,3978.44,,,REV,-165.9,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-20 06:00:00,2026-07-24 06:00:00,BUY,3994.83,,,REV,545.8,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-07-24 06:00:00,2026-07-27 06:00:00,SELL,4049.61,,,REV,-400.4,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-27 06:00:00,2026-07-28 06:00:00,BUY,4089.45,,,REV,-155.2,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-07-28 06:00:00,2026-07-30 06:00:00,SELL,4074.13,,,REV,-144.4,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-30 06:00:00,2026-08-03 06:00:00,BUY,4088.37,,,REV,-248.7,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-08-03 06:00:00,2026-08-05 06:00:00,SELL,4063.7,,,REV,-124.8,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-08-05 06:00:00,2026-08-07 06:00:00,BUY,4075.98,,,REV,1644.8,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-08-07 06:00:00,2026-08-10 06:00:00,SELL,4240.66,,,REV,-1012.7,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-08-10 06:00:00,2026-08-12 06:00:00,BUY,4341.73,,,REV,270.8,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-08-12 06:00:00,2026-08-13 06:00:00,SELL,4369.01,,,REV,-334.9,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
