entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-07-14 23:15:00,2026-07-15 05:05:00,SELL,4062.98,,,REV,100.8,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-15 05:05:00,2026-07-17 05:05:00,BUY,4052.7,,,REV,-746.1,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-07-17 05:05:00,2026-07-20 05:10:00,SELL,3978.29,,,REV,-191.4,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-20 05:10:00,2026-07-24 05:05:00,BUY,3997.23,,,REV,514.5,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-07-24 05:05:00,2026-07-27 05:10:00,SELL,4048.88,,,REV,-396.6,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-27 05:10:00,2026-07-28 05:05:00,BUY,4088.34,,,REV,-80.8,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-07-28 05:05:00,2026-07-30 05:05:00,SELL,4080.46,,,REV,65.5,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-07-30 05:05:00,2026-08-03 05:10:00,BUY,4073.71,,,REV,6.8,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-08-03 05:10:00,2026-08-05 05:05:00,SELL,4074.59,,,REV,-36.9,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-08-05 05:05:00,2026-08-07 05:05:00,BUY,4078.08,,,REV,1581.1,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-08-07 05:05:00,2026-08-10 05:10:00,SELL,4236.39,,,REV,-1028.3,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
2026-08-10 05:10:00,2026-08-12 05:05:00,BUY,4339.02,,,REV,331.0,S425 BUY D1 Candle Color,D1 color flip ATR=n/a
2026-08-12 05:05:00,2026-08-13 05:05:00,SELL,4372.32,,,REV,-330.9,S425 SELL D1 Candle Color,D1 color flip ATR=n/a
