entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason,tf
2026-06-09 02:00:00,2026-06-09 21:45:00,SELL,4334.62,4412.43,4290.14,TP,10261.17,S430 SELL Triple EMA StochRSI,k=96.76 d=96.90 close=4334.61 ATR=11.12,M15
2026-06-09 12:15:00,2026-06-09 21:45:00,SELL,4331.43,4391.22,4297.28,TP,0.0,S430 SELL Triple EMA StochRSI,k=95.90 d=96.45 close=4331.44 ATR=8.54,M15
2026-06-11 16:15:00,2026-06-12 02:15:00,SELL,4086.21,4187.51,4028.06,SL,-25043.96,S430 SELL Triple EMA StochRSI,k=94.65 d=95.11 close=4086.04 ATR=14.50,M15
2026-06-16 08:15:00,2026-06-16 20:00:00,BUY,4319.79,4266.45,4350.29,TP,6955.33,S430 BUY Triple EMA StochRSI,k=7.17 d=6.41 close=4319.80 ATR=7.62,M15
2026-06-16 23:15:00,2026-06-18 00:45:00,BUY,4346.1,4295.87,4374.57,TP,6498.76,S430 BUY Triple EMA StochRSI,k=23.86 d=23.72 close=4345.95 ATR=7.15,M15
2026-06-22 10:45:00,2026-06-23 10:30:00,SELL,4175.7,4241.38,4138.12,TP,8987.57,S430 SELL Triple EMA StochRSI,k=87.77 d=87.91 close=4175.67 ATR=9.39,M15
2026-06-25 19:00:00,2026-06-26 20:15:00,SELL,3980.11,4061.71,3933.5,SL,-20658.53,S430 SELL Triple EMA StochRSI,k=91.14 d=91.95 close=3980.12 ATR=11.66,M15
2026-07-20 05:15:00,2026-07-21 12:30:00,SELL,3996.25,4054.24,3963.11,SL,-14322.43,S430 SELL Triple EMA StochRSI,k=85.74 d=86.90 close=3996.25 ATR=8.28,M15
2026-07-23 08:30:00,2026-07-23 16:00:00,BUY,4137.42,4087.13,4165.94,SL,-11822.13,S430 BUY Triple EMA StochRSI,k=10.69 d=10.23 close=4137.28 ATR=7.16,M15
2026-07-27 23:45:00,2026-07-28 16:45:00,BUY,4088.25,4034.78,4118.79,SL,-12565.98,S430 BUY Triple EMA StochRSI,k=30.17 d=30.11 close=4088.24 ATR=7.64,M15
2026-07-29 16:15:00,2026-07-29 19:45:00,SELL,4036.27,4078.8,4012.06,TP,5687.79,S430 SELL Triple EMA StochRSI,k=90.92 d=92.01 close=4036.33 ATR=6.07,M15
2026-08-06 21:15:00,2026-08-07 15:45:00,BUY,4268.22,4200.76,4306.79,TP,8619.6,S430 BUY Triple EMA StochRSI,k=8.51 d=7.09 close=4268.23 ATR=9.64,M15
2026-08-10 12:00:00,2026-08-11 01:45:00,BUY,4339.43,4269.44,4379.41,TP,8868.44,S430 BUY Triple EMA StochRSI,k=10.16 d=9.54 close=4339.42 ATR=10.00,M15
2026-08-11 17:15:00,2026-08-12 09:45:00,BUY,4373.17,4317.69,4404.82,TP,7031.63,S430 BUY Triple EMA StochRSI,k=10.43 d=9.96 close=4373.14 ATR=7.92,M15
2026-08-13 07:30:00,2026-08-13 15:15:00,BUY,4428.37,4367.0,4463.52,SL,-13560.56,S430 BUY Triple EMA StochRSI,k=20.09 d=18.91 close=4428.42 ATR=8.77,M15
