entry_time,exit_time,direction,entry,sl,tp1,tp2,tp3,exit_price,outcome,profit,tp1_hit,tp2_hit,pattern,reason
2026-07-21 10:00:00,2026-07-21 13:10:00,BUY,4040.63,4015.24,4050.73,4060.83,4070.94,4070.94,TP3,30.11,True,True,S431 Breakout Channel,touches=2H/2L conv=0.415 width=31.88
2026-07-21 14:25:00,2026-07-21 16:50:00,SELL,4069.63,4089.6,4062.28,4054.94,4047.59,4069.63,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/3L conv=0.252 width=22.89
2026-07-22 06:30:00,2026-07-22 07:05:00,SELL,4080.65,4084.54,4073.06,4065.48,4057.89,4084.54,SL,-4.09,False,False,S431 Breakout Channel,touches=3H/2L conv=0.896 width=23.12
2026-07-22 18:40:00,2026-07-22 18:55:00,SELL,4115.15,4122.1,4108.44,4101.73,4095.03,4122.1,SL,-7.15,False,False,S431 Breakout Channel,touches=3H/3L conv=0.810 width=21.47
2026-07-23 08:00:00,2026-07-23 08:55:00,BUY,4133.39,4115.25,4142.14,4150.9,4159.65,4115.25,SL,-18.34,False,False,S431 Breakout Channel,touches=2H/2L conv=0.609 width=27.35
2026-07-23 19:45:00,2026-07-23 20:05:00,SELL,4065.99,4082.49,4060.5,4055.0,4049.51,4049.51,TP3,16.28,True,True,S431 Breakout Channel,touches=3H/2L conv=0.332 width=18.52
2026-07-24 07:40:00,2026-07-24 08:00:00,BUY,4049.32,4041.33,4054.65,4059.98,4065.31,4041.33,SL,-8.19,False,False,S431 Breakout Channel,touches=2H/3L conv=0.636 width=16.23
2026-07-24 08:40:00,2026-07-24 09:05:00,BUY,4049.98,4041.44,4054.62,4059.26,4063.89,4041.44,SL,-8.74,False,False,S431 Breakout Channel,touches=2H/2L conv=0.672 width=16.23
2026-07-24 09:45:00,2026-07-24 09:55:00,SELL,4026.49,4049.78,4026.07,4025.65,4025.24,4026.49,BE,-0.2,True,True,S431 Breakout Channel,touches=3H/3L conv=0.366 width=13.32
2026-07-27 07:00:00,2026-07-27 07:20:00,BUY,4101.86,4057.1,4113.37,4124.87,4136.38,4101.86,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.066 width=40.35
2026-07-27 08:20:00,2026-07-27 14:10:00,SELL,4101.84,4121.31,4084.64,4067.45,4050.25,4101.84,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.777 width=53.13
2026-07-28 13:00:00,2026-07-28 16:50:00,BUY,4046.25,4028.58,4055.37,4064.5,4073.62,4028.58,SL,-17.87,False,False,S431 Breakout Channel,touches=2H/2L conv=0.327 width=28.18
2026-07-29 06:50:00,2026-07-29 08:00:00,BUY,4023.65,4014.43,4035.24,4046.83,4058.43,4014.43,SL,-9.42,False,False,S431 Breakout Channel,touches=2H/2L conv=0.697 width=35.04
2026-07-29 14:05:00,2026-07-29 17:35:00,BUY,4044.68,4029.47,4053.05,4061.41,4069.78,4029.47,SL,-15.41,False,False,S431 Breakout Channel,touches=2H/2L conv=0.372 width=25.14
2026-07-30 13:50:00,2026-07-30 20:35:00,BUY,4038.68,4026.33,4056.75,4074.83,4092.9,4092.9,TP3,54.02,True,True,S431 Breakout Channel,touches=2H/2L conv=0.824 width=56.32
2026-07-31 08:10:00,2026-07-31 09:05:00,SELL,4088.78,4106.3,4081.93,4075.08,4068.23,4088.78,BE,-0.2,True,False,S431 Breakout Channel,touches=3H/2L conv=0.668 width=22.71
2026-07-31 14:25:00,2026-07-31 19:25:00,SELL,4072.68,4083.52,4064.2,4055.71,4047.23,4047.23,TP3,25.25,True,True,S431 Breakout Channel,touches=3H/2L conv=0.716 width=25.91
2026-08-03 10:15:00,2026-08-03 19:40:00,BUY,4067.59,4043.48,4080.67,4093.76,4106.84,4043.48,SL,-24.31,False,False,S431 Breakout Channel,touches=2H/3L conv=0.654 width=42.04
2026-08-04 07:40:00,2026-08-04 08:40:00,SELL,4056.38,4070.82,4049.87,4043.35,4036.84,4056.38,BE,-0.2,True,True,S431 Breakout Channel,touches=3H/2L conv=0.448 width=20.73
2026-08-05 11:05:00,2026-08-05 19:05:00,BUY,4139.33,4101.17,4158.78,4178.24,4197.69,4197.69,TP3,58.16,True,True,S431 Breakout Channel,touches=2H/2L conv=0.510 width=58.38
2026-08-06 08:25:00,2026-08-06 15:50:00,SELL,4275.95,4304.57,4260.67,4245.4,4230.12,4275.95,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.629 width=46.45
2026-08-07 08:40:00,2026-08-07 13:55:00,BUY,4256.78,4230.36,4269.73,4282.68,4295.63,4295.63,TP3,38.65,True,True,S431 Breakout Channel,touches=2H/2L conv=0.637 width=47.18
2026-08-07 17:10:00,2026-08-07 18:00:00,SELL,4308.41,4322.0,4300.62,4292.83,4285.04,4322.0,SL,-13.79,False,False,S431 Breakout Channel,touches=2H/2L conv=0.600 width=24.56
2026-08-10 10:15:00,2026-08-10 13:40:00,BUY,4324.23,4310.44,4334.35,4344.47,4354.59,4354.59,TP3,30.16,True,True,S431 Breakout Channel,touches=2H/2L conv=0.738 width=30.84
2026-08-10 15:35:00,2026-08-10 21:30:00,SELL,4348.25,4363.3,4337.64,4327.03,4316.42,4348.25,BE,-0.2,True,True,S431 Breakout Channel,touches=2H/3L conv=0.716 width=32.88
2026-08-11 13:25:00,2026-08-12 09:40:00,SELL,4363.48,4407.61,4344.49,4325.51,4306.52,4407.61,SL,-44.33,False,False,S431 Breakout Channel,touches=2H/2L conv=0.502 width=59.98
2026-08-13 09:40:00,2026-08-13 10:55:00,BUY,4410.38,4400.92,4437.6,4464.83,4492.05,4400.92,SL,-9.66,False,False,S431 Breakout Channel,touches=2H/3L conv=0.828 width=83.61
2026-08-13 15:45:00,2026-08-13 20:30:00,BUY,4378.64,4361.26,4398.18,4417.73,4437.27,4378.64,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.624 width=58.79
2026-08-14 03:10:00,2026-08-14 06:00:00,BUY,4350.29,4341.63,4358.11,4365.93,4373.75,4350.29,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.692 width=24.19
2026-08-14 11:05:00,2026-08-14 18:35:00,BUY,4323.7,4300.36,4336.83,4349.95,4363.08,4363.08,TP3,39.18,True,True,S431 Breakout Channel,touches=2H/2L conv=0.559 width=39.64
2026-08-14 20:35:00,2026-08-15 01:45:00,BUY,4395.13,4371.09,4404.6,4414.07,4423.54,4371.09,SL,-24.24,False,False,S431 Breakout Channel,touches=2H/2L conv=0.246 width=29.54
2026-08-15 03:50:00,2026-08-17 05:05:00,BUY,4376.18,4371.85,4380.57,4384.96,4389.34,4371.85,SL,-4.53,False,False,S431 Breakout Channel,touches=2H/2L conv=0.816 width=13.75
2026-08-17 07:15:00,2026-08-17 08:00:00,BUY,4384.69,4366.94,4391.6,4398.5,4405.41,4405.41,TP3,20.52,True,True,S431 Breakout Channel,touches=2H/2L conv=0.246 width=21.02
