entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 21:00:00,2025-09-03 15:00:00,BUY,3511.14,3496.78,3582.93,3540.0,TIMEOUT,28.66,S432 Market Path Forecast,horizon=17
2025-09-04 09:00:00,2025-09-04 17:00:00,SELL,3530.92,3546.87,3451.32,3546.87,SL,-16.15,S432 Market Path Forecast,horizon=14
2025-09-05 10:00:00,2025-09-05 18:00:00,BUY,3558.33,3540.64,3641.73,3553.22,TIMEOUT,-5.31,S432 Market Path Forecast,horizon=8
2025-09-09 22:00:00,2025-09-10 16:00:00,SELL,3645.69,3661.19,3547.02,3655.22,FLIP,-9.73,S432 Market Path Forecast,horizon=19
2025-09-10 16:00:00,2025-09-11 02:00:00,BUY,3655.22,3636.05,3751.06,3642.03,FLIP,-13.39,S432 Market Path Forecast,horizon=22
2025-09-11 02:00:00,2025-09-11 13:00:00,SELL,3642.03,3660.14,3544.56,3633.27,TIMEOUT,8.56,S432 Market Path Forecast,horizon=10
2025-09-12 08:00:00,2025-09-13 00:00:00,BUY,3646.37,3627.8,3744.08,3648.7,TIMEOUT,2.13,S432 Market Path Forecast,horizon=16
2025-09-15 06:00:00,2025-09-15 14:00:00,SELL,3638.16,3657.49,3540.86,3643.9,TIMEOUT,-5.94,S432 Market Path Forecast,horizon=8
2025-09-15 19:00:00,2025-09-16 12:00:00,BUY,3650.37,3633.05,3743.47,3682.72,TIMEOUT,32.15,S432 Market Path Forecast,horizon=16
2025-09-17 08:00:00,2025-09-17 17:00:00,SELL,3679.41,3701.02,3590.13,3661.52,TIMEOUT,17.69,S432 Market Path Forecast,horizon=9
2025-09-19 20:00:00,2025-09-22 05:00:00,BUY,3663.37,3645.77,3754.95,3688.44,TIMEOUT,24.87,S432 Market Path Forecast,horizon=8
2025-09-24 09:00:00,2025-09-24 12:00:00,SELL,3757.01,3775.52,3661.58,3775.52,SL,-18.71,S432 Market Path Forecast,horizon=8
2025-09-25 15:00:00,2025-09-25 19:00:00,BUY,3756.44,3736.94,3852.04,3736.94,SL,-19.7,S432 Market Path Forecast,horizon=20
2025-09-25 20:00:00,2025-09-26 01:00:00,SELL,3733.7,3752.2,3635.17,3752.2,SL,-18.7,S432 Market Path Forecast,horizon=15
2025-09-26 19:00:00,2025-09-27 03:00:00,BUY,3752.09,3730.48,3852.34,3761.52,TIMEOUT,9.23,S432 Market Path Forecast,horizon=8
2025-09-30 15:00:00,2025-09-30 21:00:00,SELL,3816.26,3838.46,3705.24,3838.46,SL,-22.4,S432 Market Path Forecast,horizon=16
2025-10-01 06:00:00,2025-10-02 03:00:00,BUY,3862.83,3840.6,3974.0,3864.63,TIMEOUT,1.6,S432 Market Path Forecast,horizon=21
2025-10-02 08:00:00,2025-10-02 15:00:00,SELL,3865.0,3892.65,3750.84,3874.52,FLIP,-9.72,S432 Market Path Forecast,horizon=8
2025-10-02 15:00:00,2025-10-02 21:00:00,BUY,3874.52,3850.71,4013.93,3839.89,FLIP,-34.83,S432 Market Path Forecast,horizon=26
2025-10-02 21:00:00,2025-10-03 14:00:00,SELL,3839.89,3868.76,3722.3,3864.23,FLIP,-24.54,S432 Market Path Forecast,horizon=16
2025-10-03 14:00:00,2025-10-06 07:00:00,BUY,3864.23,3840.62,3982.28,3900.41,TIMEOUT,35.98,S432 Market Path Forecast,horizon=16
2025-10-07 14:00:00,2025-10-07 19:00:00,SELL,3945.91,3975.01,3820.76,3979.44,FLIP,-33.73,S432 Market Path Forecast,horizon=8
2025-10-07 19:00:00,2025-10-09 02:00:00,BUY,3979.44,3954.88,4102.25,4045.3,TIMEOUT,65.66,S432 Market Path Forecast,horizon=30
2025-10-09 05:00:00,2025-10-09 14:00:00,SELL,4021.27,4046.62,3894.52,4031.54,TIMEOUT,-10.47,S432 Market Path Forecast,horizon=9
2025-10-09 19:00:00,2025-10-09 20:00:00,BUY,4053.74,4026.75,4182.97,4026.75,SL,-27.19,S432 Market Path Forecast,horizon=21
2025-10-09 23:00:00,2025-10-10 07:00:00,SELL,3968.32,3992.42,3836.66,3992.42,SL,-24.3,S432 Market Path Forecast,horizon=10
2025-10-10 16:00:00,2025-10-13 10:00:00,BUY,3995.81,3968.28,4133.45,4051.92,TIMEOUT,55.91,S432 Market Path Forecast,horizon=17
2025-10-14 13:00:00,2025-10-14 15:00:00,SELL,4112.21,4142.26,3967.65,4142.26,SL,-30.25,S432 Market Path Forecast,horizon=11
2025-10-15 05:00:00,2025-10-16 01:00:00,BUY,4158.42,4126.98,4315.62,4200.77,TIMEOUT,42.15,S432 Market Path Forecast,horizon=20
2025-10-17 20:00:00,2025-10-20 05:00:00,SELL,4273.62,4311.19,4088.91,4256.07,TIMEOUT,17.35,S432 Market Path Forecast,horizon=8
2025-10-20 18:00:00,2025-10-21 14:00:00,BUY,4279.25,4238.92,4480.92,4298.53,FLIP,19.08,S432 Market Path Forecast,horizon=21
2025-10-21 14:00:00,2025-10-21 21:00:00,SELL,4298.53,4341.45,4088.26,4088.26,TP,210.07,S432 Market Path Forecast,horizon=8
2025-10-23 13:00:00,2025-10-23 21:00:00,BUY,4113.64,4065.06,4374.76,4148.14,TIMEOUT,34.3,S432 Market Path Forecast,horizon=8
2025-10-24 13:00:00,2025-10-24 21:00:00,SELL,4092.2,4143.92,3837.89,4117.45,TIMEOUT,-25.45,S432 Market Path Forecast,horizon=8
2025-10-29 06:00:00,2025-10-30 00:00:00,BUY,3975.41,3924.62,4243.41,3969.25,FLIP,-6.36,S432 Market Path Forecast,horizon=23
2025-10-30 00:00:00,2025-10-30 12:00:00,SELL,3969.25,4022.64,3712.87,3976.96,TIMEOUT,-7.91,S432 Market Path Forecast,horizon=11
2025-10-30 15:00:00,2025-10-31 22:00:00,BUY,3998.89,3946.95,4266.79,3980.67,FLIP,-18.42,S432 Market Path Forecast,horizon=30
2025-10-31 22:00:00,2025-11-03 08:00:00,SELL,3980.67,4030.57,3728.51,4004.0,TIMEOUT,-23.53,S432 Market Path Forecast,horizon=8
2025-11-03 14:00:00,2025-11-04 05:00:00,BUY,4019.66,3971.4,4267.31,3997.23,FLIP,-22.63,S432 Market Path Forecast,horizon=26
2025-11-04 05:00:00,2025-11-04 16:00:00,SELL,3997.23,4045.02,3764.03,3993.78,TIMEOUT,3.25,S432 Market Path Forecast,horizon=11
2025-11-05 14:00:00,2025-11-06 06:00:00,BUY,3979.93,3940.23,4181.45,3975.89,TIMEOUT,-4.24,S432 Market Path Forecast,horizon=15
2025-11-06 23:00:00,2025-11-07 13:00:00,SELL,3986.12,4023.28,3794.37,4007.69,FLIP,-21.77,S432 Market Path Forecast,horizon=13
2025-11-07 13:00:00,2025-11-07 21:00:00,BUY,4007.69,3970.8,4183.74,3990.96,FLIP,-16.93,S432 Market Path Forecast,horizon=20
2025-11-07 21:00:00,2025-11-07 22:00:00,SELL,3990.96,4028.15,3796.78,4007.75,FLIP,-16.99,S432 Market Path Forecast,horizon=11
2025-11-07 22:00:00,2025-11-11 06:00:00,BUY,4007.75,3966.58,4216.73,4130.87,TIMEOUT,122.92,S432 Market Path Forecast,horizon=30
2025-11-11 21:00:00,2025-11-12 05:00:00,SELL,4106.51,4137.76,3948.31,4137.76,SL,-31.45,S432 Market Path Forecast,horizon=8
2025-11-12 21:00:00,2025-11-13 07:00:00,BUY,4181.42,4152.5,4326.02,4192.33,TIMEOUT,10.71,S432 Market Path Forecast,horizon=9
2025-11-14 00:00:00,2025-11-14 05:00:00,SELL,4157.99,4182.17,4012.34,4182.17,SL,-24.38,S432 Market Path Forecast,horizon=10
2025-11-18 19:00:00,2025-11-19 22:00:00,BUY,4065.15,4032.25,4221.97,4074.72,TIMEOUT,9.37,S432 Market Path Forecast,horizon=26
2025-11-20 08:00:00,2025-11-20 19:00:00,SELL,4066.95,4098.15,3887.77,4080.43,TIMEOUT,-13.68,S432 Market Path Forecast,horizon=11
2025-11-21 22:00:00,2025-11-22 02:00:00,BUY,4099.92,4064.64,4291.35,4064.64,SL,-35.48,S432 Market Path Forecast,horizon=24
2025-11-24 11:00:00,2025-11-24 19:00:00,SELL,4046.47,4087.62,3842.54,4077.77,FLIP,-31.5,S432 Market Path Forecast,horizon=12
2025-11-24 19:00:00,2025-11-25 18:00:00,BUY,4077.77,4038.79,4271.64,4129.88,TIMEOUT,51.91,S432 Market Path Forecast,horizon=22
2025-11-28 14:00:00,2025-11-28 20:00:00,SELL,4170.11,4210.34,3974.1,4198.28,FLIP,-28.37,S432 Market Path Forecast,horizon=15
2025-11-28 20:00:00,2025-12-02 05:00:00,BUY,4198.28,4169.13,4375.94,4227.52,TIMEOUT,29.04,S432 Market Path Forecast,horizon=29
2025-12-02 07:00:00,2025-12-02 17:00:00,SELL,4219.52,4254.86,4056.35,4205.37,TIMEOUT,13.95,S432 Market Path Forecast,horizon=10
2025-12-03 19:00:00,2025-12-03 22:00:00,BUY,4237.24,4204.94,4383.32,4204.94,SL,-32.5,S432 Market Path Forecast,horizon=13
2025-12-04 09:00:00,2025-12-04 19:00:00,SELL,4195.76,4227.65,4049.12,4198.2,TIMEOUT,-2.64,S432 Market Path Forecast,horizon=10
2025-12-04 22:00:00,2025-12-05 21:00:00,BUY,4215.7,4181.02,4384.94,4243.7,TIMEOUT,27.8,S432 Market Path Forecast,horizon=22
2025-12-06 03:00:00,2025-12-08 19:00:00,SELL,4198.63,4227.82,4065.05,4201.73,TIMEOUT,-3.3,S432 Market Path Forecast,horizon=15
2025-12-09 15:00:00,2025-12-10 14:00:00,BUY,4202.96,4164.88,4383.96,4198.04,FLIP,-5.12,S432 Market Path Forecast,horizon=30
2025-12-10 14:00:00,2025-12-10 22:00:00,SELL,4198.04,4230.81,4032.91,4204.81,TIMEOUT,-6.97,S432 Market Path Forecast,horizon=8
2025-12-11 02:00:00,2025-12-12 10:00:00,BUY,4230.02,4200.98,4364.52,4266.37,TIMEOUT,36.15,S432 Market Path Forecast,horizon=30
2025-12-12 22:00:00,2025-12-15 05:00:00,SELL,4281.97,4308.4,4149.41,4308.4,SL,-26.63,S432 Market Path Forecast,horizon=21
2025-12-15 14:00:00,2025-12-15 20:00:00,BUY,4347.15,4321.54,4475.18,4321.54,SL,-25.81,S432 Market Path Forecast,horizon=17
2025-12-15 22:00:00,2025-12-16 14:00:00,SELL,4297.63,4323.35,4169.74,4284.69,TIMEOUT,12.74,S432 Market Path Forecast,horizon=15
2025-12-16 20:00:00,2025-12-16 22:00:00,BUY,4324.54,4298.63,4454.09,4298.63,SL,-26.11,S432 Market Path Forecast,horizon=21
2025-12-18 15:00:00,2025-12-18 22:00:00,SELL,4323.51,4350.57,4186.8,4360.32,FLIP,-37.01,S432 Market Path Forecast,horizon=8
2025-12-18 22:00:00,2025-12-18 23:00:00,BUY,4360.32,4327.77,4492.24,4327.77,SL,-32.75,S432 Market Path Forecast,horizon=28
2025-12-23 20:00:00,2025-12-23 22:00:00,SELL,4446.44,4473.7,4309.59,4473.7,SL,-27.46,S432 Market Path Forecast,horizon=9
2025-12-24 02:00:00,2025-12-24 20:00:00,BUY,4497.51,4469.73,4634.32,4464.82,FLIP,-32.89,S432 Market Path Forecast,horizon=28
2025-12-24 20:00:00,2025-12-26 05:00:00,SELL,4464.82,4495.67,4324.88,4495.67,SL,-31.05,S432 Market Path Forecast,horizon=8
2025-12-26 06:00:00,2025-12-29 06:00:00,BUY,4517.79,4489.14,4661.06,4497.32,FLIP,-20.67,S432 Market Path Forecast,horizon=26
2025-12-29 06:00:00,2025-12-29 19:00:00,SELL,4497.32,4525.98,4353.26,4421.7,TIMEOUT,75.42,S432 Market Path Forecast,horizon=13
2025-12-30 13:00:00,2025-12-31 01:00:00,BUY,4372.45,4337.79,4532.54,4348.63,FLIP,-24.02,S432 Market Path Forecast,horizon=15
2025-12-31 01:00:00,2025-12-31 16:00:00,SELL,4348.63,4377.11,4182.19,4306.4,TIMEOUT,42.03,S432 Market Path Forecast,horizon=14
2026-01-02 06:00:00,2026-01-02 18:00:00,BUY,4354.05,4319.19,4532.31,4394.47,TIMEOUT,40.22,S432 Market Path Forecast,horizon=12
2026-01-02 21:00:00,2026-01-05 05:00:00,SELL,4335.41,4372.6,4151.49,4372.6,SL,-37.39,S432 Market Path Forecast,horizon=17
2026-01-05 07:00:00,2026-01-06 07:00:00,BUY,4401.86,4365.09,4585.72,4450.67,TIMEOUT,48.61,S432 Market Path Forecast,horizon=23
2026-01-07 11:00:00,2026-01-07 23:00:00,SELL,4454.35,4495.87,4258.4,4451.87,TIMEOUT,2.28,S432 Market Path Forecast,horizon=12
2026-01-08 22:00:00,2026-01-10 02:00:00,BUY,4463.34,4424.14,4653.88,4507.78,TIMEOUT,44.24,S432 Market Path Forecast,horizon=27
2026-01-13 07:00:00,2026-01-13 18:00:00,SELL,4577.88,4605.39,4397.83,4593.21,TIMEOUT,-15.53,S432 Market Path Forecast,horizon=11
2026-01-13 19:00:00,2026-01-14 02:00:00,BUY,4611.5,4572.84,4812.42,4586.1,FLIP,-25.6,S432 Market Path Forecast,horizon=26
2026-01-14 02:00:00,2026-01-14 09:00:00,SELL,4586.1,4626.94,4414.39,4626.94,SL,-41.04,S432 Market Path Forecast,horizon=13
2026-01-14 11:00:00,2026-01-15 07:00:00,BUY,4619.91,4586.56,4786.64,4600.12,FLIP,-19.99,S432 Market Path Forecast,horizon=22
2026-01-15 07:00:00,2026-01-15 19:00:00,SELL,4600.12,4634.2,4431.35,4587.95,TIMEOUT,11.97,S432 Market Path Forecast,horizon=12
2026-01-15 22:00:00,2026-01-16 17:00:00,BUY,4605.58,4567.74,4808.88,4612.54,TIMEOUT,6.76,S432 Market Path Forecast,horizon=18
2026-01-16 19:00:00,2026-01-17 03:00:00,SELL,4601.9,4634.5,4440.73,4596.12,TIMEOUT,5.58,S432 Market Path Forecast,horizon=8
2026-01-19 05:00:00,2026-01-20 05:00:00,BUY,4672.45,4638.29,4843.25,4665.37,TIMEOUT,-7.28,S432 Market Path Forecast,horizon=21
2026-01-20 06:00:00,2026-01-20 09:00:00,SELL,4660.38,4691.61,4500.27,4680.19,FLIP,-20.01,S432 Market Path Forecast,horizon=13
2026-01-20 09:00:00,2026-01-21 10:00:00,BUY,4680.19,4639.42,4884.06,4865.96,TIMEOUT,185.57,S432 Market Path Forecast,horizon=24
2026-01-21 23:00:00,2026-01-22 08:00:00,SELL,4826.24,4861.71,4655.78,4789.35,TIMEOUT,36.69,S432 Market Path Forecast,horizon=8
