entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 21:00:00,2025-09-03 09:00:00,BUY,3511.14,3491.46,3570.19,3531.77,FLIP,20.43,S433 AI Gold Star 123 (Coppock),
2025-09-03 09:00:00,2025-09-03 19:00:00,SELL,3531.77,3549.81,3477.65,3550.58,FLIP,-19.01,S433 AI Gold Star 123 (Coppock),
2025-09-03 19:00:00,2025-09-04 03:00:00,BUY,3550.58,3536.35,3593.28,3559.64,FLIP,8.86,S433 AI Gold Star 123 (Coppock),
2025-09-04 03:00:00,2025-09-04 10:00:00,SELL,3559.64,3574.14,3516.12,3516.12,TP,43.32,S433 AI Gold Star 123 (Coppock),
2025-09-04 17:00:00,2025-09-05 20:00:00,BUY,3540.87,3523.81,3592.05,3592.05,TP,50.98,S433 AI Gold Star 123 (Coppock),
2025-09-08 07:00:00,2025-09-08 14:00:00,SELL,3594.33,3612.1,3541.02,3612.1,SL,-17.97,S433 AI Gold Star 123 (Coppock),
2025-09-08 15:00:00,2025-09-09 02:00:00,BUY,3611.18,3598.05,3650.56,3636.53,FLIP,25.15,S433 AI Gold Star 123 (Coppock),
2025-09-09 02:00:00,2025-09-09 09:00:00,SELL,3636.53,3651.21,3592.49,3651.21,SL,-14.88,S433 AI Gold Star 123 (Coppock),
2025-09-09 16:00:00,2025-09-09 18:00:00,BUY,3653.61,3639.98,3694.49,3648.03,FLIP,-5.78,S433 AI Gold Star 123 (Coppock),
2025-09-09 18:00:00,2025-09-09 20:00:00,SELL,3648.03,3662.3,3605.22,3666.12,FLIP,-18.29,S433 AI Gold Star 123 (Coppock),
2025-09-09 20:00:00,2025-09-09 21:00:00,BUY,3666.12,3649.96,3714.61,3644.97,FLIP,-21.35,S433 AI Gold Star 123 (Coppock),
2025-09-09 21:00:00,2025-09-10 09:00:00,SELL,3644.97,3664.46,3586.51,3636.29,FLIP,8.48,S433 AI Gold Star 123 (Coppock),
2025-09-10 09:00:00,2025-09-11 16:00:00,BUY,3636.29,3617.01,3694.14,3617.01,SL,-19.48,S433 AI Gold Star 123 (Coppock),
2025-09-11 19:00:00,2025-09-12 14:00:00,BUY,3628.94,3614.28,3672.92,3648.35,FLIP,19.21,S433 AI Gold Star 123 (Coppock),
2025-09-12 14:00:00,2025-09-15 20:00:00,SELL,3648.35,3657.24,3621.67,3657.24,SL,-9.09,S433 AI Gold Star 123 (Coppock),
