entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 18:10:00,2025-09-02 18:50:00,SELL,3483.63,3487.28,3472.67,3486.87,FLIP,-3.44,S433 AI Gold Star 123 (Coppock),
2025-09-02 18:50:00,2025-09-02 19:15:00,BUY,3486.87,3483.48,3497.05,3484.99,FLIP,-2.08,S433 AI Gold Star 123 (Coppock),
2025-09-02 19:15:00,2025-09-02 20:40:00,SELL,3484.99,3489.71,3470.84,3489.71,SL,-4.92,S433 AI Gold Star 123 (Coppock),
2025-09-02 22:10:00,2025-09-02 22:55:00,SELL,3511.73,3519.49,3488.46,3519.49,SL,-7.96,S433 AI Gold Star 123 (Coppock),
2025-09-02 23:05:00,2025-09-02 23:15:00,BUY,3523.37,3518.21,3538.86,3522.75,FLIP,-0.82,S433 AI Gold Star 123 (Coppock),
2025-09-02 23:15:00,2025-09-02 23:20:00,SELL,3522.75,3528.06,3506.83,3523.89,FLIP,-1.34,S433 AI Gold Star 123 (Coppock),
2025-09-02 23:20:00,2025-09-02 23:40:00,BUY,3523.89,3518.73,3539.36,3526.23,FLIP,2.14,S433 AI Gold Star 123 (Coppock),
2025-09-02 23:40:00,2025-09-02 23:45:00,SELL,3526.23,3531.44,3510.59,3526.36,FLIP,-0.33,S433 AI Gold Star 123 (Coppock),
2025-09-02 23:45:00,2025-09-02 23:50:00,BUY,3526.36,3521.28,3541.6,3528.24,FLIP,1.68,S433 AI Gold Star 123 (Coppock),
2025-09-02 23:50:00,2025-09-03 00:55:00,SELL,3528.24,3533.21,3513.32,3529.33,FLIP,-1.29,S433 AI Gold Star 123 (Coppock),
2025-09-03 00:55:00,2025-09-03 01:40:00,BUY,3529.33,3525.59,3540.54,3529.22,FLIP,-0.31,S433 AI Gold Star 123 (Coppock),
2025-09-03 01:40:00,2025-09-03 02:00:00,SELL,3529.22,3531.88,3521.23,3531.74,FLIP,-2.72,S433 AI Gold Star 123 (Coppock),
