entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 19:30:00,2025-09-02 19:45:00,SELL,3476.49,3484.86,3451.37,3484.86,SL,-8.57,S433 AI Gold Star 123 (Coppock),
2025-09-02 20:15:00,2025-09-02 22:00:00,BUY,3485.25,3475.34,3514.99,3514.99,TP,29.54,S433 AI Gold Star 123 (Coppock),
2025-09-03 00:00:00,2025-09-03 02:15:00,SELL,3527.22,3537.87,3495.27,3537.87,SL,-10.85,S433 AI Gold Star 123 (Coppock),
2025-09-03 07:15:00,2025-09-03 09:45:00,BUY,3537.31,3531.66,3554.27,3531.77,FLIP,-5.74,S433 AI Gold Star 123 (Coppock),
2025-09-03 09:45:00,2025-09-03 12:30:00,SELL,3531.77,3541.8,3501.68,3532.52,FLIP,-0.95,S433 AI Gold Star 123 (Coppock),
2025-09-03 12:30:00,2025-09-03 12:45:00,BUY,3532.52,3526.83,3549.58,3529.95,FLIP,-2.77,S433 AI Gold Star 123 (Coppock),
2025-09-03 12:45:00,2025-09-03 13:00:00,SELL,3529.95,3535.86,3512.23,3533.07,FLIP,-3.32,S433 AI Gold Star 123 (Coppock),
2025-09-03 13:00:00,2025-09-03 14:15:00,BUY,3533.07,3527.4,3550.09,3531.95,FLIP,-1.32,S433 AI Gold Star 123 (Coppock),
2025-09-03 14:15:00,2025-09-03 14:30:00,SELL,3531.95,3537.51,3515.28,3534.22,FLIP,-2.47,S433 AI Gold Star 123 (Coppock),
2025-09-03 14:30:00,2025-09-03 14:45:00,BUY,3534.22,3528.31,3551.95,3533.83,FLIP,-0.59,S433 AI Gold Star 123 (Coppock),
2025-09-03 14:45:00,2025-09-03 15:00:00,SELL,3533.83,3539.63,3516.42,3536.72,FLIP,-3.09,S433 AI Gold Star 123 (Coppock),
2025-09-03 15:00:00,2025-09-03 16:45:00,BUY,3536.72,3530.69,3554.82,3534.34,FLIP,-2.58,S433 AI Gold Star 123 (Coppock),
2025-09-03 16:45:00,2025-09-03 17:45:00,SELL,3534.34,3540.39,3516.19,3539.99,FLIP,-5.85,S433 AI Gold Star 123 (Coppock),
