entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 05:30:00,2025-09-02 06:00:00,SELL,3475.26,3487.2,3427.5,3477.96,FLIP,-2.9,S433 AI Gold Star 123 (Coppock),
2025-09-02 06:00:00,2025-09-02 06:30:00,BUY,3477.96,3465.0,3529.79,3479.27,FLIP,1.11,S433 AI Gold Star 123 (Coppock),
2025-09-02 06:30:00,2025-09-02 07:00:00,SELL,3479.27,3490.9,3432.74,3483.18,FLIP,-4.11,S433 AI Gold Star 123 (Coppock),
2025-09-02 07:00:00,2025-09-02 07:30:00,BUY,3483.18,3471.19,3531.15,3479.21,FLIP,-4.17,S433 AI Gold Star 123 (Coppock),
2025-09-02 07:30:00,2025-09-02 08:00:00,SELL,3479.21,3491.12,3431.57,3497.41,FLIP,-18.4,S433 AI Gold Star 123 (Coppock),
2025-09-02 08:00:00,2025-09-02 12:00:00,BUY,3497.41,3482.31,3557.82,3493.39,FLIP,-4.22,S433 AI Gold Star 123 (Coppock),
2025-09-02 12:00:00,2025-09-02 18:30:00,SELL,3493.39,3516.19,3402.17,3489.78,FLIP,3.41,S433 AI Gold Star 123 (Coppock),
2025-09-02 18:30:00,2025-09-03 03:00:00,BUY,3489.78,3467.04,3580.72,3536.57,FLIP,46.59,S433 AI Gold Star 123 (Coppock),
2025-09-03 03:00:00,2025-09-03 11:30:00,SELL,3536.57,3562.35,3433.46,3536.93,FLIP,-0.56,S433 AI Gold Star 123 (Coppock),
2025-09-03 11:30:00,2025-09-03 12:00:00,BUY,3536.93,3516.96,3616.8,3534.75,FLIP,-2.38,S433 AI Gold Star 123 (Coppock),
2025-09-03 12:00:00,2025-09-03 13:30:00,SELL,3534.75,3555.21,3452.93,3535.39,FLIP,-0.84,S433 AI Gold Star 123 (Coppock),
2025-09-03 13:30:00,2025-09-03 14:00:00,BUY,3535.39,3514.02,3620.87,3531.95,FLIP,-3.64,S433 AI Gold Star 123 (Coppock),
2025-09-03 14:00:00,2025-09-03 15:00:00,SELL,3531.95,3550.81,3456.52,3541.13,FLIP,-9.38,S433 AI Gold Star 123 (Coppock),
2025-09-03 15:00:00,2025-09-04 01:00:00,BUY,3541.13,3523.37,3612.15,3574.63,FLIP,33.3,S433 AI Gold Star 123 (Coppock),
2025-09-04 01:00:00,2025-09-04 13:00:00,SELL,3574.63,3597.07,3484.88,3537.57,FLIP,36.86,S433 AI Gold Star 123 (Coppock),
2025-09-04 13:00:00,2025-09-04 20:30:00,BUY,3537.57,3508.94,3652.08,3547.02,FLIP,9.25,S433 AI Gold Star 123 (Coppock),
2025-09-04 20:30:00,2025-09-04 22:30:00,SELL,3547.02,3570.39,3453.52,3552.83,FLIP,-6.01,S433 AI Gold Star 123 (Coppock),
2025-09-04 22:30:00,2025-09-05 00:00:00,BUY,3552.83,3527.62,3653.67,3549.26,FLIP,-3.77,S433 AI Gold Star 123 (Coppock),
2025-09-05 00:00:00,2025-09-05 06:30:00,SELL,3549.26,3574.34,3448.94,3552.6,FLIP,-3.54,S433 AI Gold Star 123 (Coppock),
2025-09-05 06:30:00,2025-09-05 13:00:00,BUY,3552.6,3537.36,3613.58,3551.4,FLIP,-1.4,S433 AI Gold Star 123 (Coppock),
2025-09-05 13:00:00,2025-09-05 18:30:00,SELL,3551.4,3569.32,3479.71,3553.22,FLIP,-2.02,S433 AI Gold Star 123 (Coppock),
2025-09-05 18:30:00,2025-09-06 01:00:00,BUY,3553.22,3538.12,3613.63,3594.67,FLIP,41.25,S433 AI Gold Star 123 (Coppock),
2025-09-06 01:00:00,2025-09-08 09:30:00,SELL,3594.67,3629.57,3455.08,3590.7,FLIP,3.77,S433 AI Gold Star 123 (Coppock),
2025-09-08 09:30:00,2025-09-08 10:00:00,BUY,3590.7,3571.88,3665.98,3585.05,FLIP,-5.85,S433 AI Gold Star 123 (Coppock),
2025-09-08 10:00:00,2025-09-08 12:30:00,SELL,3585.05,3604.74,3506.3,3591.24,FLIP,-6.39,S433 AI Gold Star 123 (Coppock),
2025-09-08 12:30:00,2025-09-08 19:30:00,BUY,3591.24,3572.67,3665.53,3624.26,FLIP,32.82,S433 AI Gold Star 123 (Coppock),
2025-09-08 19:30:00,2025-09-08 21:30:00,SELL,3624.26,3645.12,3540.8,3640.68,FLIP,-16.62,S433 AI Gold Star 123 (Coppock),
2025-09-08 21:30:00,2025-09-08 22:00:00,BUY,3640.68,3616.81,3736.17,3636.5,FLIP,-4.38,S433 AI Gold Star 123 (Coppock),
2025-09-08 22:00:00,2025-09-08 23:00:00,SELL,3636.5,3660.32,3541.2,3641.31,FLIP,-5.01,S433 AI Gold Star 123 (Coppock),
2025-09-08 23:00:00,2025-09-08 23:30:00,BUY,3641.31,3616.95,3738.75,3640.74,FLIP,-0.77,S433 AI Gold Star 123 (Coppock),
2025-09-08 23:30:00,2025-09-09 07:30:00,SELL,3640.74,3665.22,3542.82,3638.51,FLIP,2.03,S433 AI Gold Star 123 (Coppock),
2025-09-09 07:30:00,2025-09-09 13:00:00,BUY,3638.51,3624.13,3696.05,3638.58,FLIP,-0.13,S433 AI Gold Star 123 (Coppock),
2025-09-09 13:00:00,2025-09-09 20:00:00,SELL,3638.58,3660.87,3549.43,3660.49,FLIP,-22.11,S433 AI Gold Star 123 (Coppock),
2025-09-09 20:00:00,2025-09-09 21:00:00,BUY,3660.49,3638.92,3746.78,3653.21,FLIP,-7.48,S433 AI Gold Star 123 (Coppock),
2025-09-09 21:00:00,2025-09-10 05:30:00,SELL,3653.21,3679.77,3546.95,3635.5,FLIP,17.51,S433 AI Gold Star 123 (Coppock),
2025-09-10 05:30:00,2025-09-10 07:00:00,BUY,3635.5,3615.05,3717.29,3627.49,FLIP,-8.21,S433 AI Gold Star 123 (Coppock),
2025-09-10 07:00:00,2025-09-10 08:30:00,SELL,3627.49,3644.89,3557.87,3630.72,FLIP,-3.43,S433 AI Gold Star 123 (Coppock),
2025-09-10 08:30:00,2025-09-10 16:00:00,BUY,3630.72,3609.2,3716.79,3646.15,FLIP,15.23,S433 AI Gold Star 123 (Coppock),
2025-09-10 16:00:00,2025-09-10 16:30:00,SELL,3646.15,3660.89,3587.2,3655.22,FLIP,-9.27,S433 AI Gold Star 123 (Coppock),
2025-09-10 16:30:00,2025-09-10 18:00:00,BUY,3655.22,3639.72,3717.21,3654.77,FLIP,-0.65,S433 AI Gold Star 123 (Coppock),
2025-09-10 18:00:00,2025-09-11 01:00:00,SELL,3654.77,3670.39,3592.31,3648.68,FLIP,5.89,S433 AI Gold Star 123 (Coppock),
2025-09-11 01:00:00,2025-09-11 02:00:00,BUY,3648.68,3628.39,3729.83,3639.64,FLIP,-9.24,S433 AI Gold Star 123 (Coppock),
2025-09-11 02:00:00,2025-09-11 05:30:00,SELL,3639.64,3660.28,3557.1,3639.8,FLIP,-0.36,S433 AI Gold Star 123 (Coppock),
2025-09-11 05:30:00,2025-09-11 09:00:00,BUY,3639.8,3624.84,3699.64,3638.07,FLIP,-1.93,S433 AI Gold Star 123 (Coppock),
2025-09-11 09:00:00,2025-09-11 15:30:00,SELL,3638.07,3653.22,3577.49,3626.19,FLIP,11.68,S433 AI Gold Star 123 (Coppock),
2025-09-11 15:30:00,2025-09-11 16:00:00,BUY,3626.19,3608.9,3695.36,3617.07,FLIP,-9.32,S433 AI Gold Star 123 (Coppock),
2025-09-11 16:00:00,2025-09-11 17:00:00,SELL,3617.07,3635.64,3542.81,3621.1,FLIP,-4.23,S433 AI Gold Star 123 (Coppock),
2025-09-11 17:00:00,2025-09-11 18:30:00,BUY,3621.1,3602.47,3695.62,3616.81,FLIP,-4.49,S433 AI Gold Star 123 (Coppock),
