entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 18:00:00,2025-09-03 02:00:00,BUY,3511.14,3460.08,3613.27,3529.38,FLIP,18.04,S433 AI Gold Star 123 (Coppock),
2025-09-03 02:00:00,2025-09-03 10:00:00,SELL,3529.38,3577.98,3432.18,3535.39,FLIP,-6.21,S433 AI Gold Star 123 (Coppock),
2025-09-03 10:00:00,2025-09-03 14:00:00,BUY,3535.39,3485.11,3635.95,3539.99,FLIP,4.4,S433 AI Gold Star 123 (Coppock),
2025-09-03 14:00:00,2025-09-03 18:00:00,SELL,3539.99,3583.98,3452.01,3558.43,FLIP,-18.64,S433 AI Gold Star 123 (Coppock),
2025-09-03 18:00:00,2025-09-04 06:00:00,BUY,3558.43,3513.43,3648.43,3530.92,FLIP,-27.71,S433 AI Gold Star 123 (Coppock),
2025-09-04 06:00:00,2025-09-05 18:00:00,SELL,3530.92,3582.2,3428.35,3590.3,FLIP,-59.58,S433 AI Gold Star 123 (Coppock),
2025-09-05 18:00:00,2025-09-09 22:00:00,BUY,3590.3,3538.37,3694.17,3640.47,FLIP,49.97,S433 AI Gold Star 123 (Coppock),
2025-09-09 22:00:00,2025-09-12 06:00:00,SELL,3640.47,3689.06,3543.28,3648.96,FLIP,-8.69,S433 AI Gold Star 123 (Coppock),
2025-09-12 06:00:00,2025-09-17 10:00:00,BUY,3648.96,3608.29,3730.3,3675.01,FLIP,25.85,S433 AI Gold Star 123 (Coppock),
2025-09-17 10:00:00,2025-09-19 14:00:00,SELL,3675.01,3713.47,3598.09,3655.84,FLIP,18.97,S433 AI Gold Star 123 (Coppock),
2025-09-19 14:00:00,2025-09-23 14:00:00,BUY,3655.84,3594.39,3778.74,3778.74,TP,122.7,S433 AI Gold Star 123 (Coppock),
2025-09-23 22:00:00,2025-09-26 14:00:00,SELL,3756.67,3807.16,3655.7,3744.64,FLIP,11.83,S433 AI Gold Star 123 (Coppock),
2025-09-26 14:00:00,2025-09-30 10:00:00,BUY,3744.64,3687.86,3858.19,3858.19,TP,113.35,S433 AI Gold Star 123 (Coppock),
2025-09-30 14:00:00,2025-09-30 18:00:00,SELL,3812.1,3871.53,3693.24,3854.09,FLIP,-42.19,S433 AI Gold Star 123 (Coppock),
2025-09-30 18:00:00,2025-09-30 22:00:00,BUY,3854.09,3788.6,3985.07,3848.07,FLIP,-6.22,S433 AI Gold Star 123 (Coppock),
2025-09-30 22:00:00,2025-10-03 18:00:00,SELL,3848.07,3910.64,3722.93,3879.68,FLIP,-31.81,S433 AI Gold Star 123 (Coppock),
2025-10-03 18:00:00,2025-10-07 22:00:00,BUY,3879.68,3816.34,4006.36,3981.06,FLIP,101.18,S433 AI Gold Star 123 (Coppock),
2025-10-07 22:00:00,2025-10-08 06:00:00,SELL,3981.06,4037.7,3867.77,4011.69,FLIP,-30.83,S433 AI Gold Star 123 (Coppock),
2025-10-08 06:00:00,2025-10-08 14:00:00,BUY,4011.69,3952.36,4130.35,4037.11,FLIP,25.22,S433 AI Gold Star 123 (Coppock),
2025-10-08 14:00:00,2025-10-08 18:00:00,SELL,4037.11,4096.8,3917.72,4048.21,FLIP,-11.3,S433 AI Gold Star 123 (Coppock),
2025-10-08 18:00:00,2025-10-08 22:00:00,BUY,4048.21,3988.83,4166.96,4049.84,FLIP,1.43,S433 AI Gold Star 123 (Coppock),
2025-10-08 22:00:00,2025-10-13 02:00:00,SELL,4049.84,4109.54,3930.44,4042.38,FLIP,7.26,S433 AI Gold Star 123 (Coppock),
2025-10-13 02:00:00,2025-10-15 14:00:00,BUY,4042.38,3946.79,4233.56,4202.73,FLIP,160.15,S433 AI Gold Star 123 (Coppock),
