entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 19:00:00,2025-09-02 20:00:00,SELL,3481.97,3493.19,3459.53,3493.19,SL,-11.42,S434 Breakout Probability (Expo),
2025-09-02 20:00:00,2025-09-02 21:00:00,BUY,3489.41,3477.59,3513.06,3513.06,TP,23.45,S434 Breakout Probability (Expo),
2025-09-02 21:00:00,2025-09-03 02:00:00,BUY,3511.14,3498.02,3537.38,3537.38,TP,26.04,S434 Breakout Probability (Expo),
2025-09-03 02:00:00,2025-09-03 21:00:00,BUY,3537.05,3524.63,3561.89,3561.89,TP,24.64,S434 Breakout Probability (Expo),
2025-09-03 21:00:00,2025-09-04 01:00:00,BUY,3558.43,3548.9,3577.49,3577.49,TP,18.86,S434 Breakout Probability (Expo),
2025-09-04 01:00:00,2025-09-04 08:00:00,SELL,3570.38,3580.12,3550.89,3550.89,TP,19.29,S434 Breakout Probability (Expo),
2025-09-04 08:00:00,2025-09-04 10:00:00,SELL,3546.22,3556.59,3525.47,3525.47,TP,20.55,S434 Breakout Probability (Expo),
2025-09-04 10:00:00,2025-09-04 13:00:00,SELL,3529.07,3541.21,3504.79,3541.21,SL,-12.34,S434 Breakout Probability (Expo),
2025-09-04 13:00:00,2025-09-05 12:00:00,BUY,3536.05,3524.23,3559.69,3559.69,TP,23.44,S434 Breakout Probability (Expo),
2025-09-05 12:00:00,2025-09-05 19:00:00,SELL,3557.78,3565.62,3542.1,3565.62,SL,-8.04,S434 Breakout Probability (Expo),
2025-09-05 19:00:00,2025-09-05 23:00:00,BUY,3580.27,3570.63,3599.54,3599.54,TP,19.07,S434 Breakout Probability (Expo),
2025-09-05 23:00:00,2025-09-08 10:00:00,BUY,3595.16,3583.23,3619.02,3583.23,SL,-12.13,S434 Breakout Probability (Expo),
2025-09-08 10:00:00,2025-09-08 13:00:00,SELL,3583.5,3593.96,3562.57,3593.96,SL,-10.66,S434 Breakout Probability (Expo),
2025-09-08 13:00:00,2025-09-08 15:00:00,BUY,3598.04,3590.1,3613.93,3613.93,TP,15.69,S434 Breakout Probability (Expo),
2025-09-08 15:00:00,2025-09-08 20:00:00,BUY,3611.18,3602.43,3628.68,3628.68,TP,17.3,S434 Breakout Probability (Expo),
2025-09-08 20:00:00,2025-09-09 09:00:00,BUY,3633.41,3623.4,3653.42,3653.42,TP,19.81,S434 Breakout Probability (Expo),
2025-09-09 09:00:00,2025-09-09 13:00:00,BUY,3647.64,3638.68,3665.57,3638.68,SL,-9.16,S434 Breakout Probability (Expo),
2025-09-09 13:00:00,2025-09-09 16:00:00,SELL,3647.55,3656.07,3630.51,3656.07,SL,-8.72,S434 Breakout Probability (Expo),
2025-09-09 16:00:00,2025-09-09 19:00:00,BUY,3653.61,3644.53,3671.78,3644.53,SL,-9.29,S434 Breakout Probability (Expo),
2025-09-09 19:00:00,2025-09-09 20:00:00,SELL,3647.5,3657.27,3627.96,3657.27,SL,-9.97,S434 Breakout Probability (Expo),
2025-09-09 20:00:00,2025-09-09 21:00:00,BUY,3666.12,3655.34,3687.67,3655.34,SL,-10.98,S434 Breakout Probability (Expo),
2025-09-09 21:00:00,2025-09-11 16:00:00,SELL,3644.97,3657.96,3618.99,3618.99,TP,25.78,S434 Breakout Probability (Expo),
2025-09-11 16:00:00,2025-09-11 19:00:00,SELL,3621.86,3630.19,3605.21,3630.19,SL,-8.53,S434 Breakout Probability (Expo),
2025-09-11 19:00:00,2025-09-11 20:00:00,BUY,3628.94,3619.17,3648.49,3619.17,SL,-9.97,S434 Breakout Probability (Expo),
2025-09-11 20:00:00,2025-09-12 10:00:00,BUY,3630.22,3619.61,3651.44,3651.44,TP,21.02,S434 Breakout Probability (Expo),
2025-09-12 10:00:00,2025-09-12 15:00:00,BUY,3652.89,3644.99,3668.7,3644.99,SL,-8.1,S434 Breakout Probability (Expo),
2025-09-12 15:00:00,2025-09-12 17:00:00,SELL,3641.01,3647.43,3628.16,3647.43,SL,-6.62,S434 Breakout Probability (Expo),
2025-09-12 17:00:00,2025-09-12 19:00:00,BUY,3651.13,3644.47,3664.44,3644.47,SL,-6.86,S434 Breakout Probability (Expo),
2025-09-12 19:00:00,2025-09-12 20:00:00,SELL,3645.43,3652.53,3631.24,3652.53,SL,-7.3,S434 Breakout Probability (Expo),
2025-09-12 20:00:00,2025-09-12 22:00:00,BUY,3650.3,3642.87,3665.16,3642.87,SL,-7.63,S434 Breakout Probability (Expo),
2025-09-12 22:00:00,2025-09-15 08:00:00,SELL,3644.55,3651.61,3630.43,3630.43,TP,13.92,S434 Breakout Probability (Expo),
2025-09-15 08:00:00,2025-09-15 19:00:00,BUY,3634.48,3628.04,3647.37,3647.37,TP,12.69,S434 Breakout Probability (Expo),
2025-09-15 19:00:00,2025-09-15 22:00:00,BUY,3650.37,3642.43,3666.26,3666.26,TP,15.69,S434 Breakout Probability (Expo),
