entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-09-02 17:00:00,2025-09-02 17:30:00,BUY,3480.1,3469.89,3483.41,3483.41,TP,3.11,S434 Breakout Probability (Expo),
2025-09-02 17:30:00,2025-09-02 18:00:00,BUY,3485.64,3475.48,3485.7,3485.7,TP,-0.14,S434 Breakout Probability (Expo),
2025-09-02 18:00:00,2025-09-02 18:30:00,SELL,3479.43,3490.06,3479.26,3490.06,SL,-10.83,S434 Breakout Probability (Expo),
2025-09-02 18:30:00,2025-09-02 19:00:00,BUY,3489.78,3478.41,3490.1,3490.1,TP,0.12,S434 Breakout Probability (Expo),
2025-09-02 19:00:00,2025-09-02 19:30:00,SELL,3482.62,3494.88,3480.67,3480.67,TP,1.75,S434 Breakout Probability (Expo),
2025-09-02 19:30:00,2025-09-02 21:00:00,SELL,3481.97,3495.16,3474.43,3495.16,SL,-13.39,S434 Breakout Probability (Expo),
2025-09-02 21:00:00,2025-09-02 21:30:00,BUY,3502.34,3487.96,3504.98,3504.98,TP,2.44,S434 Breakout Probability (Expo),
2025-09-02 21:30:00,2025-09-02 22:00:00,BUY,3511.14,3496.23,3514.1,3514.1,TP,2.76,S434 Breakout Probability (Expo),
2025-09-02 22:00:00,2025-09-02 22:30:00,BUY,3513.02,3498.27,3516.56,3516.56,TP,3.34,S434 Breakout Probability (Expo),
2025-09-02 22:30:00,2025-09-02 23:00:00,BUY,3520.41,3505.43,3520.45,3520.45,TP,-0.16,S434 Breakout Probability (Expo),
2025-09-02 23:00:00,2025-09-02 23:30:00,BUY,3524.86,3509.48,3526.42,3526.42,TP,1.36,S434 Breakout Probability (Expo),
2025-09-02 23:30:00,2025-09-03 00:30:00,BUY,3527.82,3512.33,3528.78,3528.78,TP,0.76,S434 Breakout Probability (Expo),
2025-09-03 00:30:00,2025-09-03 01:00:00,BUY,3529.33,3513.96,3530.14,3530.14,TP,0.61,S434 Breakout Probability (Expo),
2025-09-03 01:00:00,2025-09-03 01:30:00,BUY,3530.09,3515.2,3530.73,3530.73,TP,0.44,S434 Breakout Probability (Expo),
2025-09-03 01:30:00,2025-09-03 07:00:00,SELL,3528.35,3542.74,3525.34,3542.74,SL,-14.59,S434 Breakout Probability (Expo),
2025-09-03 07:00:00,2025-09-03 12:30:00,BUY,3537.31,3528.11,3546.89,3528.11,SL,-9.4,S434 Breakout Probability (Expo),
2025-09-03 12:30:00,2025-09-03 15:00:00,SELL,3529.95,3540.55,3526.88,3540.55,SL,-10.81,S434 Breakout Probability (Expo),
2025-09-03 15:00:00,2025-09-03 16:00:00,BUY,3541.13,3532.25,3541.28,3541.28,TP,-0.05,S434 Breakout Probability (Expo),
2025-09-03 16:00:00,2025-09-03 16:30:00,SELL,3538.22,3546.54,3538.2,3538.2,TP,-0.18,S434 Breakout Probability (Expo),
2025-09-03 16:30:00,2025-09-03 17:00:00,SELL,3534.34,3542.13,3533.91,3533.91,TP,0.23,S434 Breakout Probability (Expo),
2025-09-03 17:00:00,2025-09-03 17:30:00,BUY,3536.83,3528.93,3537.06,3537.06,TP,0.03,S434 Breakout Probability (Expo),
2025-09-03 17:30:00,2025-09-03 18:00:00,BUY,3539.99,3531.76,3541.75,3541.75,TP,1.56,S434 Breakout Probability (Expo),
2025-09-03 18:00:00,2025-09-03 18:30:00,BUY,3545.79,3537.16,3547.86,3547.86,TP,1.87,S434 Breakout Probability (Expo),
2025-09-03 18:30:00,2025-09-03 19:30:00,BUY,3547.59,3538.89,3549.59,3549.59,TP,1.8,S434 Breakout Probability (Expo),
