TF   window             Net      PF  WinRate  Closed
M30  H1(first)       173.65    1.02    34.3%     510   cfg={'ATR_MULT': 1.5, 'MIN_TP_ATR_MULT': 3.0}
M30  H2(second)      292.28    1.05    34.8%     420   cfg={'ATR_MULT': 1.5, 'MIN_TP_ATR_MULT': 3.0}
M30  FULL            465.93    1.03    34.5%     930   cfg={'ATR_MULT': 1.5, 'MIN_TP_ATR_MULT': 3.0}

H1   H1(first)      1626.10    1.24    37.0%     513   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 2.0}
H1   H2(second)      881.47    1.14    36.7%     455   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 2.0}
H1   FULL           2507.57    1.19    36.9%     968   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 2.0}

H4   H1(first)       299.83    1.09    26.1%     115   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 3.0}
H4   H2(second)     1347.00    1.61    35.6%      73   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 3.0}
H4   FULL           1646.83    1.30    29.8%     188   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 3.0}

H12  H1(first)      1894.92    2.18    82.7%      75   cfg={'ATR_MULT': 2.0, 'MIN_TP_ATR_MULT': 0.75}
H12  H2(second)     1423.53    1.94    82.8%      64   cfg={'ATR_MULT': 2.0, 'MIN_TP_ATR_MULT': 0.75}
H12  FULL           3318.45    2.06    82.7%     139   cfg={'ATR_MULT': 2.0, 'MIN_TP_ATR_MULT': 0.75}

D1   H1(first)      2569.31    3.43    65.9%      41   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 1.5}
D1   H2(second)      264.61    1.19    45.8%      24   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 1.5}
D1   FULL           2833.92    2.16    58.5%      65   cfg={'ATR_MULT': 1.0, 'MIN_TP_ATR_MULT': 1.5}

