signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-21T16:00:00+07:00,2026-05-21T18:25:00+07:00,BUY,4523.4,4517.98,4567.4,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration -0.2133->0.3772, jump=0.5906, early=0.7110, wick=0.2825"
2026-05-29T21:35:00+07:00,2026-05-29T21:45:00+07:00,BUY,4531.42,4521.98,4607.58,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration 0.1631->0.6413, jump=0.4782, early=1.1244, wick=0.2465"
2026-05-29T22:20:00+07:00,2026-05-29T22:30:00+07:00,SELL,4531.19,4540.98,4452.78,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration -0.6273->0.1956, jump=0.8229, early=0.4885, wick=0.2669"
2026-06-03T19:40:00+07:00,2026-06-03T19:50:00+07:00,SELL,4460.31,4464.98,4422.77,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration -0.2211->0.3350, jump=0.5562, early=0.7682, wick=0.2395"
2026-06-05T16:30:00+07:00,2026-06-05T16:45:00+07:00,SELL,4463.38,4468.51,4421.98,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration -0.5718->0.1438, jump=0.7156, early=0.6793, wick=0.2681"
2026-06-05T22:55:00+07:00,2026-06-05T23:05:00+07:00,BUY,4369.71,4360.08,4446.49,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration -0.1749->0.2846, jump=0.4594, early=0.5124, wick=0.2266"
2026-06-11T17:40:00+07:00,2026-06-11T17:50:00+07:00,BUY,4091.46,4087.15,4128.28,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration -0.0730->0.3259, jump=0.3989, early=0.4900, wick=0.2616"
2026-06-18T18:10:00+07:00,2026-06-18T18:20:00+07:00,BUY,4268.07,4261.54,4320.67,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration 0.0148->0.1872, jump=0.1724, early=0.8856, wick=0.3555"
2026-06-18T18:25:00+07:00,2026-06-18T18:35:00+07:00,BUY,4269.49,4263.2,4319.28,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration 0.1878->0.3048, jump=0.1169, early=0.8551, wick=0.3854"
2026-06-23T17:00:00+07:00,2026-06-23T17:10:00+07:00,BUY,4110.07,4103.56,4162.69,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration 0.2614->0.6435, jump=0.3820, early=0.9152, wick=0.1939"
2026-06-25T21:55:00+07:00,2026-06-25T22:00:00+07:00,SELL,4002.5,4011.02,3932.27,SL,-8.72,S352 SELL Bridge Deceleration 8R,"bridge deceleration 0.0905->0.6701, jump=0.5796, early=0.8887, wick=0.2035"
2026-07-01T20:35:00+07:00,2026-07-01T21:00:00+07:00,SELL,4024.09,4030.68,3971.19,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration 0.0019->0.3366, jump=0.3347, early=0.8475, wick=0.1889"
2026-07-02T15:10:00+07:00,2026-07-02T15:35:00+07:00,SELL,4067.8,4074.7,4012.51,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration -0.7782->0.3650, jump=1.1432, early=0.6323, wick=0.3290"
2026-07-02T21:50:00+07:00,2026-07-02T22:00:00+07:00,SELL,4133.51,4144.9,4042.21,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration 0.0231->0.1580, jump=0.1349, early=0.9493, wick=0.2670"
2026-07-03T22:25:00+07:00,2026-07-03T22:35:00+07:00,BUY,4166.2,4161.77,4201.82,BE,-0.2,S352 BUY Bridge Deceleration 8R,"bridge deceleration -0.4579->0.1461, jump=0.6040, early=0.7259, wick=0.2452"
2026-07-06T19:25:00+07:00,2026-07-06T19:40:00+07:00,SELL,4154.95,4159.8,4116.24,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration 0.0399->0.1362, jump=0.0963, early=0.4963, wick=0.6156"
2026-07-07T19:05:00+07:00,2026-07-07T19:15:00+07:00,SELL,4132.36,4135.5,4107.06,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration 0.2086->0.4214, jump=0.2128, early=0.6795, wick=0.2765"
2026-07-14T21:50:00+07:00,2026-07-14T22:00:00+07:00,SELL,4076.41,4085.78,4002.16,BE,-0.2,S352 SELL Bridge Deceleration 8R,"bridge deceleration -0.0599->0.3264, jump=0.3863, early=1.0705, wick=0.1801"
