signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-01T16:50:00+07:00,2025-07-01T17:00:00+07:00,BUY,3347.86,3344.9,3370.82,BE,-0.2,S359 BUY Bipower Jump 8R,"jump share 0.0000->0.5179, increase=0.5179, directional energy=0.6261, efficiency=0.5370"
2025-07-01T17:40:00+07:00,2025-07-01T18:35:00+07:00,BUY,3347.66,3345.08,3368.4,BE,-0.2,S359 BUY Bipower Jump 8R,"jump share 0.1477->0.3699, increase=0.2222, directional energy=0.4869, efficiency=0.4136"
2025-07-03T16:40:00+07:00,2025-07-03T16:50:00+07:00,SELL,3344.93,3347.76,3322.1,BE,-0.2,S359 SELL Bipower Jump 8R,"jump share 0.0558->0.2814, increase=0.2255, directional energy=0.3918, efficiency=0.3728"
2025-07-03T19:40:00+07:00,2025-07-03T19:50:00+07:00,SELL,3312.21,3320.45,3245.93,BE,-0.2,S359 SELL Bipower Jump 8R,"jump share 0.1831->0.3703, increase=0.1872, directional energy=0.9134, efficiency=0.6439"
2025-07-14T21:05:00+07:00,2025-07-14T21:10:00+07:00,SELL,3349.76,3353.2,3322.15,SL,-3.64,S359 SELL Bipower Jump 8R,"jump share 0.0051->0.1907, increase=0.1856, directional energy=0.6128, efficiency=0.4775"
2025-07-17T20:40:00+07:00,2025-07-17T20:50:00+07:00,SELL,3312.93,3317.84,3273.92,BE,-0.2,S359 SELL Bipower Jump 8R,"jump share 0.0083->0.6675, increase=0.6592, directional energy=0.6145, efficiency=0.3095"
2025-07-18T15:35:00+07:00,2025-07-18T15:45:00+07:00,BUY,3348.4,3346.22,3365.67,BE,-0.2,S359 BUY Bipower Jump 8R,"jump share 0.0721->0.2962, increase=0.2241, directional energy=0.8573, efficiency=0.7091"
2025-07-18T20:10:00+07:00,2025-07-18T20:20:00+07:00,BUY,3359.41,3357.41,3375.59,BE,-0.2,S359 BUY Bipower Jump 8R,"jump share 0.1988->0.5830, increase=0.3841, directional energy=0.6947, efficiency=0.4500"
2025-07-18T20:40:00+07:00,2025-07-18T20:50:00+07:00,BUY,3360.5,3358.33,3378.76,BE,-0.2,S359 BUY Bipower Jump 8R,"jump share 0.0603->0.5899, increase=0.5296, directional energy=0.6438, efficiency=0.3979"
2025-07-22T20:50:00+07:00,2025-07-22T23:00:00+07:00,BUY,3403.85,3400.65,3429.27,TP,25.22,S359 BUY Bipower Jump 8R,"jump share 0.0000->0.2479, increase=0.2479, directional energy=0.7705, efficiency=0.6318"
2025-07-24T21:15:00+07:00,2025-07-24T21:25:00+07:00,SELL,3355.76,3359.23,3327.01,BE,-0.2,S359 SELL Bipower Jump 8R,"jump share 0.0000->0.3772, increase=0.3772, directional energy=0.5144, efficiency=0.2586"
2025-07-28T21:45:00+07:00,2025-07-29T03:50:00+07:00,SELL,3317.71,3322.81,3276.64,BE,-0.2,S359 SELL Bipower Jump 8R,"jump share 0.0184->0.2825, increase=0.2641, directional energy=0.6655, efficiency=0.4734"
2025-07-31T18:50:00+07:00,2025-07-31T19:00:00+07:00,SELL,3296.29,3299.56,3270.31,BE,-0.2,S359 SELL Bipower Jump 8R,"jump share 0.1255->0.2907, increase=0.1652, directional energy=0.4813, efficiency=0.5826"
2025-08-01T22:05:00+07:00,2025-08-01T22:15:00+07:00,BUY,3349.84,3343.96,3397.06,BE,-0.2,S359 BUY Bipower Jump 8R,"jump share 0.0424->0.5856, increase=0.5432, directional energy=0.8397, efficiency=0.5338"
