signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-02T21:55:00+07:00,2026-01-05T06:00:00+07:00,SELL,4353.25,4360.16,4294.46,BE,-0.2,S366 SELL VPIN Toxicity 9R,"VPIN 0.3600->0.4862, ratio=1.3506, directional=0.4708, path=0.4883"
2026-01-05T21:45:00+07:00,2026-01-05T21:55:00+07:00,BUY,4436.86,4427.66,4519.17,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.2697->0.4899, ratio=1.8166, directional=0.4899, path=0.3509"
2026-01-07T15:35:00+07:00,2026-01-07T15:45:00+07:00,BUY,4471.5,4466.01,4521.12,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.4774->0.6986, ratio=1.4635, directional=0.6986, path=0.7622"
2026-01-12T20:30:00+07:00,2026-01-12T20:40:00+07:00,BUY,4609.08,4604.48,4648.99,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.4813->0.7081, ratio=1.4713, directional=0.5179, path=0.4743"
2026-01-12T20:45:00+07:00,2026-01-12T21:00:00+07:00,BUY,4614.44,4607.45,4677.45,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.3768->0.6838, ratio=1.8149, directional=0.6838, path=0.6402"
2026-01-15T16:45:00+07:00,2026-01-15T16:55:00+07:00,BUY,4612.16,4607.69,4652.69,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.4446->0.5485, ratio=1.2336, directional=0.3497, path=0.2578"
2026-01-15T18:30:00+07:00,2026-01-15T18:40:00+07:00,BUY,4621.52,4617.51,4657.31,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.3303->0.6014, ratio=1.8210, directional=0.6014, path=0.3059"
2026-01-22T22:25:00+07:00,2026-01-23T07:55:00+07:00,BUY,4853.91,4841.78,4963.99,TP,109.88,S366 BUY VPIN Toxicity 9R,"VPIN 0.4195->0.5374, ratio=1.2810, directional=0.3466, path=0.4146"
2026-02-18T15:55:00+07:00,2026-02-18T16:05:00+07:00,SELL,4917.22,4922.53,4869.63,BE,-0.2,S366 SELL VPIN Toxicity 9R,"VPIN 0.1951->0.5061, ratio=2.5935, directional=0.5061, path=0.4863"
2026-02-18T16:30:00+07:00,2026-02-18T16:40:00+07:00,SELL,4916.92,4923.57,4855.27,BE,-0.2,S366 SELL VPIN Toxicity 9R,"VPIN 0.2855->0.4996, ratio=1.7500, directional=0.4996, path=0.2522"
2026-02-23T17:15:00+07:00,2026-02-23T17:25:00+07:00,BUY,5153.06,5149.08,5188.79,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.2755->0.6135, ratio=2.2272, directional=0.6135, path=0.5960"
2026-02-23T22:05:00+07:00,2026-02-23T22:15:00+07:00,BUY,5197.15,5186.52,5292.32,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.4287->0.5836, ratio=1.3613, directional=0.4164, path=0.5389"
2026-02-23T22:35:00+07:00,2026-02-23T22:45:00+07:00,BUY,5199.62,5185.78,5323.59,BE,-0.2,S366 BUY VPIN Toxicity 9R,"VPIN 0.3104->0.5120, ratio=1.6497, directional=0.5120, path=0.5500"
